Dataset,Scene Id ,Nav. algorithm,Robot,Pedestrian Collisions,Environment Collisions,Timeouts,Min. Distance Exceeded,Path Lenght,Time 2 Goal,Minimum distance to person,Avg. Speed,Path Irregularity
seq_eth,6,sacadrl,turtlebot2,1,0,0,0,16.29065594203339,85.87699999999998,0.418862722258894,0.18969754348700343,2.7208349823397153
seq_eth,7,unaware,turtlebot2,0,0,0,0,11.856059729391763,24.37700000000001,0.6378794947490315,0.4863625437663272,6.042217352881623
seq_eth,7,rvo,turtlebot2,0,0,0,0,12.357198328397871,27.44500000000002,0.6945523111525946,0.4502531728328607,5.94706297236236
seq_eth,7,sacadrl,turtlebot2,3,0,0,0,16.46397538683658,80.321,0.4104821696107582,0.2049772212352508,2.8934572907904315
seq_eth,8,unaware,turtlebot2,1,0,0,0,12.26879649984872,25.114000000000004,0.44613144156568174,0.48852418968896705,0.19926870296808424
seq_eth,8,rvo,turtlebot2,0,0,0,0,15.075155746745747,35.82500000000002,0.5745161876971712,0.42079988127692225,0.5310970403874701
seq_eth,8,sacadrl,turtlebot2,9,0,0,0,11.473970273650634,73.232,0.33339708695070897,0.15667973390936524,2.5005732790861965
seq_eth,9,unaware,turtlebot2,3,0,0,0,10.31602374334352,21.204999999999984,0.42694432794591547,0.48649015530976314,0.27752025270663216
seq_eth,9,rvo,turtlebot2,3,0,0,0,10.56228012796074,24.13499999999999,0.3866970562620791,0.43763331791840665,5.411419455038026
seq_eth,9,sacadrl,turtlebot2,2,0,0,0,15.17764317704657,81.624,0.40935088920827717,0.18594583917777333,3.535145214798722
seq_hotel,0,unaware,turtlebot2,1,0,0,0,16.814157453781522,33.730999999999995,0.34818304687761975,0.4984778824755129,6.243057288663073
seq_hotel,0,unaware,turtlebot2,1,0,0,0,16.814157453781522,33.730999999999995,0.34818304687761975,0.4984778824755129,6.243057288663073
seq_hotel,0,sacadrl,turtlebot2,0,0,0,0,6.1701057932343755,33.79999999999998,5.106776972671712,0.18254750867557334,4.130518071070169
seq_hotel,1,unaware,turtlebot2,8,0,0,0,12.845505054459442,25.766999999999996,0.4189309262105976,0.4985254416291941,6.228185667293443
seq_hotel,1,rvo,turtlebot2,4,0,0,0,14.55676700604428,37.625,0.41989348167028234,0.3868908174363928,1.2312650647818102
seq_hotel,1,sacadrl,turtlebot2,2,0,0,0,18.372194999640275,94.62,0.4243527453742517,0.19416819910843663,2.8840000047593213
seq_hotel,2,unaware,turtlebot2,0,0,0,0,2.514085204034112,5.102000000000004,2.8342793311340277,0.49276464210782245,6.150815915513266
seq_hotel,2,rvo,turtlebot2,0,0,0,0,2.542147648049243,5.400999999999982,2.818760687172722,0.47068091983878013,6.1561839367263085
seq_hotel,2,sacadrl,turtlebot2,0,0,0,0,1.7748854844028363,5.133999999999986,3.399518627562681,0.34571201488173764,5.762907100268926
seq_hotel,3,unaware,turtlebot2,2,0,0,0,8.683142138352896,17.430000000000007,0.27832369537041846,0.49817223972191005,6.227729978863218
seq_hotel,3,unaware,turtlebot2,2,0,0,0,8.683142138352896,17.430000000000007,0.27832369537041846,0.49817223972191005,6.227729978863218
seq_hotel,3,sacadrl,turtlebot2,1,0,0,0,2.9597606739341367,17.608000000000004,0.27832432616087555,0.16809181473955792,2.6073001315545734
seq_hotel,4,unaware,turtlebot2,0,0,0,0,9.189018046286654,18.444999999999993,0.7207281998014957,0.4981847680285528,6.188253260409999
