Dataset,Scene Id ,Nav. algorithm,Robot,Pedestrian Collisions,Environment Collisions,Timeouts,Min. Distance Exceeded,Path Lenght,Time 2 Goal,Minimum distance to person,Avg. Speed,Path Irregularity
seq_eth,8,unaware,turtlebot2,0,0,0,0,12.266185263474828,25.038999999999987,0.5347466573278282,0.48988319275829045,0.22356303832495902
seq_eth,8,sf,turtlebot2,0,0,1,0,12.003803603030494,159.93999999999997,0.9041546567493736,0.07505191698781104,1.6680865158291591
seq_eth,8,rvo,turtlebot2,0,0,0,0,13.031670980637019,32.004999999999995,0.601731286771109,0.4071760968797694,0.44412693530589964
seq_eth,8,sacadrl,turtlebot2,0,0,1,0,9.868334865036005,159.93999999999997,0.7863010768566023,0.06170023049290988,1.6586441580974027
seq_eth,9,unaware,turtlebot2,3,0,0,0,10.303150499580104,21.201999999999998,0.4039734213081414,0.4859518205631594,0.24573377803695226
seq_eth,9,sf,turtlebot2,1,0,1,0,11.316562903607792,159.93999999999997,0.4120089191463923,0.07075505129178314,1.7891413423327172
seq_eth,9,rvo,turtlebot2,3,0,0,0,10.778849533781592,28.067000000000007,0.4320980014850336,0.38403995916134925,3.768134541334053
seq_eth,9,sacadrl,turtlebot2,4,0,1,0,27.877523918188167,159.93999999999997,0.4021017063009342,0.17429988694628093,2.9607744700602354
seq_hotel,0,unaware,turtlebot2,0,0,0,0,19.85403524712069,39.778999999999996,0.49375226840780734,0.49910845539406956,6.234958461921885
seq_hotel,0,sf,turtlebot2,0,0,0,0,19.847103967332362,39.778999999999996,0.4958628117349963,0.4989342106974123,5.5575341889708385
seq_hotel,0,rvo,turtlebot2,3,0,0,0,21.32487027283257,47.754999999999995,0.4048228085067507,0.4465473829511584,2.37293310981696
seq_hotel,0,sacadrl,turtlebot2,1,0,0,0,35.263630312736105,141.65900000000002,0.4459110900507047,0.24893321506389357,4.280362683073356
seq_hotel,1,unaware,turtlebot2,6,0,0,0,12.834984303049158,25.745000000000005,0.41614786461258424,0.49854279677798236,6.227326530293916
seq_hotel,1,sf,turtlebot2,7,0,0,0,12.862687938009788,25.846000000000004,0.4230967483719264,0.4976664837115912,3.7691345235728417
seq_hotel,1,rvo,turtlebot2,6,0,0,0,18.068089544651837,73.298,0.4166671209266068,0.2465018082983415,2.4931303035123276
seq_hotel,1,sacadrl,turtlebot2,1,0,1,0,24.75391349518616,159.93999999999997,0.44887244507145996,0.15476999809419886,3.531208422858723
seq_hotel,2,unaware,turtlebot2,2,0,0,0,10.819586617220898,21.706999999999994,0.4222658618467392,0.4984376752762197,6.223871599643437
